edge_id,parent_entity_id,parent_entity_key,parent_name,child_entity_id,child_entity_key,child_name,relationship_type,certainty,source_id,page_number,line_number,source_ref,evidence_text,extraction_rule,wikidata_property_suggestion,privacy_review_required
EDGE_7433A7A04B,ENT_50243DF89C,imam musa kazim,Imam Musa Kazim,ENT_592A598416,abbas,Abbas,father_of,medium_high,SRC002,106,14,SRC002 p.106 line 14,Descendants of Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) | child entry 85.3: Abbas,descendant_child_under_current_heading,P22,no
EDGE_835E4FFD21,ENT_50243DF89C,imam musa kazim,Imam Musa Kazim,ENT_CCBCF39AF4,qasim,Qasim,father_of,medium_high,SRC002,106,16,SRC002 p.106 line 16,Descendants of Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) | child entry 85.4: Qasim,descendant_child_under_current_heading,P22,no
EDGE_C4F97778ED,ENT_50243DF89C,imam musa kazim,Imam Musa Kazim,ENT_E327C9FB8E,ismail,Ismail,father_of,medium_high,SRC002,106,18,SRC002 p.106 line 18,Descendants of Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) | child entry 85.5: Ismail,descendant_child_under_current_heading,P22,no
EDGE_F1F11F8003,ENT_50243DF89C,imam musa kazim,Imam Musa Kazim,ENT_33B38EBE53,ja far,Ja‘far,father_of,medium_high,SRC002,106,20,SRC002 p.106 line 20,Descendants of Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) | child entry 85.6: Ja‘far,descendant_child_under_current_heading,P22,no
EDGE_F728AFDCE1,ENT_50243DF89C,imam musa kazim,Imam Musa Kazim,ENT_678551FA73,harun,Harun,father_of,medium_high,SRC002,106,22,SRC002 p.106 line 22,Descendants of Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) | child entry 85.7: Harun,descendant_child_under_current_heading,P22,no
EDGE_B111204154,ENT_50243DF89C,imam musa kazim,Imam Musa Kazim,ENT_F2D3F09150,abdullah,Abdullah,father_of,medium_high,SRC002,106,24,SRC002 p.106 line 24,Descendants of Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) | child entry 85.8: Abdullah,descendant_child_under_current_heading,P22,no
EDGE_1B403B5EAD,ENT_50243DF89C,imam musa kazim,Imam Musa Kazim,ENT_D68ADED6E6,ishaq,Ishaq,father_of,medium_high,SRC002,106,26,SRC002 p.106 line 26,Descendants of Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) | child entry 85.9: Ishaq,descendant_child_under_current_heading,P22,no
EDGE_D85E3F6B1D,ENT_50243DF89C,imam musa kazim,Imam Musa Kazim,ENT_D67B0C59D6,imam ali raza,Imam Ali Raza,father_of,high,SRC002,106,31,SRC002 p.106 line 31,Descendants of Imam Ali Raza (A.S) bin Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S),descendants_heading_child_bin_father,P22,no
EDGE_29166718DA,ENT_D67B0C59D6,imam ali raza,Imam Ali Raza,ENT_688AD719B3,imam muhammad al taqi al jawad,Imam Muhammad al-Taqi al-Jawad,father_of,medium_high,SRC002,106,34,SRC002 p.106 line 34,Descendants of Imam Ali Raza (A.S) bin Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) | child entry 86.1: Imam Muhammad al-Taqi al-Jawad (A.S),descendant_child_under_current_heading,P22,no
EDGE_6DBC4B6E23,ENT_D67B0C59D6,imam ali raza,Imam Ali Raza,ENT_C50C4E0F7F,musa,Musa,father_of,medium_high,SRC002,106,36,SRC002 p.106 line 36,Descendants of Imam Ali Raza (A.S) bin Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) | child entry 86.2: Musa,descendant_child_under_current_heading,P22,no
EDGE_2888E0E1CE,ENT_D67B0C59D6,imam ali raza,Imam Ali Raza,ENT_B49B0B7881,hasan,Hasan,father_of,medium_high,SRC002,106,38,SRC002 p.106 line 38,Descendants of Imam Ali Raza (A.S) bin Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) | child entry 86.3: Hasan,descendant_child_under_current_heading,P22,no
EDGE_7809CD61FA,ENT_D67B0C59D6,imam ali raza,Imam Ali Raza,ENT_04BBD3D882,ibrahim,Ibrahim,father_of,medium_high,SRC002,106,40,SRC002 p.106 line 40,Descendants of Imam Ali Raza (A.S) bin Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) | child entry 86.4: Ibrahim,descendant_child_under_current_heading,P22,no
